dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,probes_per_gene
GSE63061,6604,ILMN_2309180,0.0335628610123019,SMARCD3,SMARCD3,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",2
GSE63061,6605,ILMN_1747857,0.0370765163762328,SMARCE1,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",1
GSE63061,6606,ILMN_1675609,0.00767738260387578,SMN1,SMN1,"survival of motor neuron 1, telomeric",3
GSE63061,6607,ILMN_2336393,0.00100913445865448,SMN2,SMN2,"survival of motor neuron 2, centromeric",1
GSE63061,6609,ILMN_1757370,0.0201242434924124,SMPD1,SMPD1,sphingomyelin phosphodiesterase 1,2
GSE63061,661,ILMN_1685109,0.00143140342382503,POLR3D,POLR3D,RNA polymerase III subunit D,1
GSE63061,6610,ILMN_1672176,0.0150469882286502,SMPD2,SMPD2,sphingomyelin phosphodiesterase 2,1
GSE63061,6611,ILMN_2225318,0.0272792985538369,SMS,SMS,spermine synthase,2
GSE63061,6612,ILMN_1725642,0.0315710513763745,SUMO3,SUMO3,small ubiquitin-like modifier 3,1
GSE63061,6613,ILMN_2333594,0.0426849822508066,SUMO2,SUMO2,small ubiquitin-like modifier 2,2
GSE63061,6614,ILMN_1725320,0.000451379305455549,SIGLEC1,SIGLEC1,sialic acid binding Ig like lectin 1,1
GSE63061,6617,ILMN_2093389,0.0326321047587432,SNAPC1,SNAPC1,small nuclear RNA activating complex polypeptide 1,2
GSE63061,6618,ILMN_1698478,0.0490323926595875,SNAPC2,SNAPC2,small nuclear RNA activating complex polypeptide 2,1
GSE63061,662,ILMN_2318733,0.00367969664052021,BNIP1,BNIP1,BCL2 interacting protein 1,2
GSE63061,6620,ILMN_2397842,0.00171332337544835,SNCB,SNCB,synuclein beta,1
GSE63061,6621,ILMN_1677484,0.0340370344925591,SNAPC4,SNAPC4,small nuclear RNA activating complex polypeptide 4,1
GSE63061,6622,ILMN_1766165,0.702712401940782,SNCA,SNCA,synuclein alpha,2
GSE63061,6624,ILMN_1808707,0.0543989032364086,FSCN1,FSCN1,fascin actin-bundling protein 1,1
GSE63061,6625,ILMN_1732053,0.0690611955951402,SNRNP70,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70,3
GSE63061,6626,ILMN_1779399,0.0140376403136632,SNRPA,SNRPA,small nuclear ribonucleoprotein polypeptide A,1
GSE63061,6627,ILMN_1715179,0.0456742573470508,SNRPA1,SNRPA1,small nuclear ribonucleoprotein polypeptide A',1
GSE63061,6628,ILMN_1774661,0.0440276972303787,SNRPB,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1,2
GSE63061,6629,ILMN_1690706,0.094708620709443,SNRPB2,SNRPB2,small nuclear ribonucleoprotein polypeptide B2,2
GSE63061,663,ILMN_1770803,0.0989536075971278,BNIP2,BNIP2,BCL2 interacting protein 2,1
GSE63061,6631,ILMN_1741997,0.0242334416206463,SNRPC,SNRPC,small nuclear ribonucleoprotein polypeptide C,2
GSE63061,6632,ILMN_1768393,0.00599320578984536,SNRPD1,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide,1
GSE63061,6633,ILMN_2369785,0.314187714616784,SNRPD2,SNRPD2,small nuclear ribonucleoprotein D2 polypeptide,1
GSE63061,6634,ILMN_1794599,0.0248803272695128,SNRPD3,SNRPD3,small nuclear ribonucleoprotein D3 polypeptide,1
GSE63061,6635,ILMN_1656424,0.000760203721306115,SNRPE,SNRPE,small nuclear ribonucleoprotein polypeptide E,1
GSE63061,6636,ILMN_2067370,0.0821764749636895,SNRPF,SNRPF,small nuclear ribonucleoprotein polypeptide F,2
GSE63061,6637,ILMN_1683562,0.382211379084681,SNRPG,SNRPG,small nuclear ribonucleoprotein polypeptide G,1
GSE63061,6638,ILMN_2372082,0.0433276004065495,SNRPN,SNRPN,small nuclear ribonucleoprotein polypeptide N,4
GSE63061,664,ILMN_1724658,0.028202944695312,BNIP3,BNIP3,BCL2 interacting protein 3,1
GSE63061,6640,ILMN_1753241,0.00980928397314618,SNTA1,SNTA1,syntrophin alpha 1,1
GSE63061,6641,ILMN_1793410,0.0217826417760616,SNTB1,SNTB1,syntrophin beta 1,1
GSE63061,6642,ILMN_2365479,0.00964757966146853,SNX1,SNX1,sorting nexin 1,2
GSE63061,6643,ILMN_1691575,0.077097580220353,SNX2,SNX2,sorting nexin 2,1
GSE63061,6645,ILMN_1808374,0.0410314989175475,SNTB2,SNTB2,syntrophin beta 2,2
GSE63061,6646,ILMN_1699100,0.0108723734678926,SOAT1,SOAT1,sterol O-acyltransferase 1,1
GSE63061,664614,ILMN_3308330,0.000854843458582542,MIR545,MIR545,microRNA 545,1
GSE63061,664617,ILMN_3310211,0.000959162191451581,MIR542,MIR542,microRNA 542,1
GSE63061,6647,ILMN_1662438,0.0967572157558176,SOD1,SOD1,"superoxide dismutase 1, soluble",1
