gene_symbol,probe_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_symbol_raw,gene_id,gene_title,is_annotated_gene,abs_logFC,direction,main_candidate,nominal_candidate
DNAJA1,ILMN_1672496,-0.633207555228098,10.1453873126305,-8.72844590212646,3.92169534988826e-16,6.01148836793672e-13,26.0548832246218,DNAJA1,3301,DnaJ heat shock protein family (Hsp40) member A1,TRUE,0.633207555228098,AD_down,TRUE,TRUE
POMP,ILMN_1693287,-0.361667217437651,10.0405267869639,-8.70603264033936,4.56242818563641e-16,6.72466818961379e-13,25.9067581707717,POMP,51371,proteasome maturation protein,TRUE,0.361667217437651,AD_down,TRUE,TRUE
GTF2H5,ILMN_1739497,-0.427252626934122,8.68070659087952,-8.67502649842672,5.6230758533579e-16,7.98101899453265e-13,25.7021741319135,GTF2H5,404672,general transcription factor IIH subunit 5,TRUE,0.427252626934122,AD_down,TRUE,TRUE
UQCRB,ILMN_1759453,-0.353627532557438,7.66269819402008,-8.64963647811939,6.67093401294919e-16,9.13012618729424e-13,25.5349329411564,UQCRB,7381,ubiquinol-cytochrome c reductase binding protein,TRUE,0.353627532557438,AD_down,TRUE,TRUE
MRPL33,ILMN_1706326,-0.374113802661579,10.2482989175783,-8.59862243982592,9.39635962276131e-16,1.24168032228779e-12,25.1996955713986,MRPL33,9553,mitochondrial ribosomal protein L33,TRUE,0.374113802661579,AD_down,TRUE,TRUE
GNL2,ILMN_1761113,-0.268351303727897,8.4223272665743,-8.58578878719751,1.02403652444812e-15,1.30810425633003e-12,25.1155259251496,GNL2,29889,G protein nucleolar 2,TRUE,0.268351303727897,AD_down,TRUE,TRUE
SSB,ILMN_1672006,-0.399719184416402,8.40944029982731,-8.56084644055227,1.21013709934193e-15,1.47336112887039e-12,24.9521337705775,SSB,6741,Sjogren syndrome antigen B,TRUE,0.399719184416402,AD_down,TRUE,TRUE
UFC1,ILMN_2110281,-0.371481145035344,9.72536938808835,-8.5583761222349,1.23029998757509e-15,1.47336112887039e-12,24.9359650996115,UFC1,51506,ubiquitin-fold modifier conjugating enzyme 1,TRUE,0.371481145035344,AD_down,TRUE,TRUE
NGDN,ILMN_2324998,-0.355141827613803,8.43946435354619,-8.5357887315333,1.4308008383619e-15,1.66154999174863e-12,24.7882429878578,NGDN,25983,neuroguidin,TRUE,0.355141827613803,AD_down,TRUE,TRUE
GIMAP7,ILMN_1776678,-0.639635546037978,10.7447559808193,-8.5094098020888,1.70623849267815e-15,1.92313151518859e-12,24.6159906284796,GIMAP7,168537,"GTPase, IMAP family member 7",TRUE,0.639635546037978,AD_down,TRUE,TRUE
MRPS21,ILMN_1655765,-0.486386184402033,8.73498335160643,-8.46266384432146,2.32933283464413e-15,2.47957480247868e-12,24.3114531724414,MRPS21,54460,mitochondrial ribosomal protein S21,TRUE,0.486386184402033,AD_down,TRUE,TRUE
ATP6V1D,ILMN_1797310,-0.43698170478466,9.42021813987952,-8.4632853719974,2.31972559954511e-15,2.47957480247868e-12,24.3154962750114,ATP6V1D,51382,ATPase H+ transporting V1 subunit D,TRUE,0.43698170478466,AD_down,TRUE,TRUE
CWC15,ILMN_1713482,-0.333103103598264,8.59159065032129,-8.37991426312568,4.03261023560312e-15,4.17669430942656e-12,23.7746116299797,CWC15,51503,CWC15 spliceosome-associated protein,TRUE,0.333103103598264,AD_down,TRUE,TRUE
OARD1,ILMN_1804834,-0.254095864348955,8.51025172675904,-8.34292049756485,5.14923134361989e-15,5.05971393718466e-12,23.5355537475834,OARD1,221443,O-acyl-ADP-ribose deacylase 1,TRUE,0.254095864348955,AD_down,TRUE,TRUE
ATP5EP2,ILMN_1756674,-0.53085684278832,13.1129444588755,-8.31534000553602,6.17622818413359e-15,5.91713541180918e-12,23.3577075674155,ATP5EP2,432369,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 2",TRUE,0.53085684278832,AD_down,TRUE,TRUE
SNRPB2,ILMN_1690706,-0.390275406683685,9.47338220626908,-8.30142215565085,6.76902335733584e-15,6.32689056341034e-12,23.2680862190065,SNRPB2,6629,small nuclear ribonucleoprotein polypeptide B2,TRUE,0.390275406683685,AD_down,TRUE,TRUE
SARNP,ILMN_1680967,-0.650089318969017,8.93770796226104,-8.22052671701893,1.15122714301129e-14,1.00266651305633e-11,22.7488433431198,SARNP,84324,SAP domain containing ribonucleoprotein,TRUE,0.650089318969017,AD_down,TRUE,TRUE
RPL32,ILMN_1663799,-0.318335752031475,13.2475297634538,-8.22357109988493,1.12850514836585e-14,1.00266651305633e-11,22.7683324389766,RPL32,6161,ribosomal protein L32,TRUE,0.318335752031475,AD_down,TRUE,TRUE
UCHL3,ILMN_1660111,-0.250370742081416,8.11149598376305,-8.2042510886094,1.28060544634387e-14,1.04415663648489e-11,22.6447215986746,UCHL3,7347,ubiquitin C-terminal hydrolase L3,TRUE,0.250370742081416,AD_down,TRUE,TRUE
