dataset_accession,expression_column,sample_geo_accession,sample_title,diagnosis_clean,n_features,missing_values,missing_fraction,mean,sd,min,q1,median,q3,max,iqr,median_mad_z,iqr_mad_z,qc_flag
GSE63060,4856076023_F,GSM1539132,4856076023_F,Control,38322,0,0,7.91215120119086,0.958720797351306,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076025_G,GSM1539133,4856076025_G,Control,38322,0,0,7.91215295222468,0.958720021314881,7.20448891,7.45096694225,7.5432298705,7.85378973725,15.04978951,0.402822795,0,0.717617007568958,pass
GSE63060,4856076008_H,GSM1539134,4856076008_H,Control,38322,0,0,7.91215265088636,0.958720163611877,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076023_L,GSM1539135,4856076023_L,Control,38322,0,0,7.91214960665398,0.958721397390443,7.20448891,7.45096596975,7.54321732,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076027_H,GSM1539136,4856076027_H,Control,38322,0,0,7.91215419072969,0.958719398450643,7.20448891,7.450974448,7.54322987,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076023_H,GSM1539137,4856076023_H,Control,38322,0,0,7.91215208985374,0.95872041881365,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076003_G,GSM1539138,4856076003_G,Control,38322,0,0,7.91215299270631,0.958720001942528,7.20448891,7.45096596975,7.543229801,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076019_F,GSM1539139,4856076019_F,Control,38322,0,0,7.91215387681585,0.958719562134838,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856050059_F,GSM1539140,4856050059_F,Control,38322,0,0,7.91215332982809,0.958719837913105,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076002_D,GSM1539141,4856076002_D,Control,38322,0,0,7.91215128015717,0.958720764977001,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076030_K,GSM1539142,4856076030_K,Control,38322,0,0,7.91215300551665,0.958719995794809,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856050048_H,GSM1539143,4856050048_H,Control,38322,0,0,7.91215390120657,0.958719549538495,7.20448891,7.450975481,7.5432298705,7.85378973725,15.04978951,0.402814256249999,0,0.717617007568958,pass
GSE63060,4856050047_J,GSM1539144,4856050047_J,Control,38322,0,0,7.91215281166283,0.958720088133615,7.20448891,7.450962738,7.5432298705,7.85378973725,15.04978951,0.402826999249999,0,0.717617007568958,pass
GSE63060,4856050059_A,GSM1539145,4856050059_A,Control,38322,0,0,7.91215700283738,0.958717756448296,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076009_I,GSM1539146,4856076009_I,Control,38322,0,0,7.9121554242759,0.958718716912644,7.20448891,7.450974448,7.5432298705,7.85378973725,15.04978951,0.402815289249999,0,0.717617007568958,pass
GSE63060,4856076018_F,GSM1539147,4856076018_F,Control,38322,0,0,7.91215269361753,0.958720143650266,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
GSE63060,4856076009_E,GSM1539148,4856076009_E,Control,38322,0,0,7.91215302159078,0.958719988048942,7.20448891,7.45096596975,7.5432298705,7.85378973725,15.04978951,0.4028237675,0,0.717617007568958,pass
