dataset_accession,signature_size_label,auc_oriented,mean_ad,mean_control,ad_minus_control,t_test_p,score_context
GSE63061,top50,0.742456780843981,0.336018384104973,-0.348556383511875,0.684574767616848,1.39153085866255e-12,S3 top50 signed signature
GSE85426,top50,0.576913580246914,0.076418987182391,-0.076418987182391,0.152837974364782,0.108546474454257,S3 top50 signed signature
