dataset_accession,gene_id,probe_id,probe_variance,gene_symbol,gene_symbol_raw,gene_title,is_annotated_gene,probes_per_gene,platform_probe_id
GSE63061,100124541,ILMN_3242448,0.00462022545496985,SNORA11D,SNORA11D,"small nucleolar RNA, H/ACA box 11D",TRUE,1,
GSE63061,100125556,ILMN_3185784,0.00396667610007775,FAM86JP,FAM86JP,"family with sequence similarity 86, member A pseudogene",TRUE,1,
GSE63061,100126270,ILMN_3259153,0.00162216222631703,FMR1-AS1,FMR1-AS1,FMR1 antisense RNA 1,TRUE,1,
GSE63061,100126297,ILMN_3309664,0.0168435600947448,MIR300,MIR300,microRNA 300,TRUE,1,
GSE63061,100126313,ILMN_3310970,0.00975987957549801,MIR744,MIR744,microRNA 744,TRUE,1,
GSE63061,100126314,ILMN_3309544,0.141219703882194,MIR877,MIR877,microRNA 877,TRUE,1,
GSE63061,100126315,ILMN_3310663,0.00173789356562886,MIR665,MIR665,microRNA 665,TRUE,1,
GSE63061,100126320,ILMN_3309184,0.000957348458476487,MIR920,MIR920,microRNA 920,TRUE,1,
GSE63061,100126328,ILMN_3309219,0.00148218863587018,MIR940,MIR940,microRNA 940,TRUE,1,
GSE63061,100126331,ILMN_3308063,0.000616389724262178,MIR942,MIR942,microRNA 942,TRUE,1,
GSE63061,100126333,ILMN_3310875,0.00250649791742713,MIR708,MIR708,microRNA 708,TRUE,1,
GSE63061,100126334,ILMN_3309329,0.00134263589299235,MIR885,MIR885,microRNA 885,TRUE,1,
GSE63061,100126338,ILMN_3310296,0.00107380554534442,MIR937,MIR937,microRNA 937,TRUE,1,
GSE63061,100126339,ILMN_3308163,0.00142299275787263,MIR941-2,MIR941-2,microRNA 941-2,TRUE,1,
GSE63061,100126345,ILMN_3310548,0.000653914209268064,MIR889,MIR889,microRNA 889,TRUE,1,
GSE63061,100126348,ILMN_3310055,0.00152937022964159,MIR760,MIR760,microRNA 760,TRUE,1,
GSE63061,100126350,ILMN_3308550,0.001503369765126,MIR933,MIR933,microRNA 933,TRUE,1,
GSE63061,100126351,ILMN_3310371,0.0205646435079184,MIR939,MIR939,microRNA 939,TRUE,1,
GSE63061,100126791,ILMN_3247013,0.00327188803117657,EGOT,EGOT,eosinophil granule ontogeny transcript (non-protein coding),TRUE,1,
GSE63061,100126793,ILMN_3256106,0.000639992330187982,GHRLOS,GHRLOS,ghrelin opposite strand/antisense RNA,TRUE,1,
GSE63061,100126798,ILMN_1881909,0.00516383842361198,SNAR-A1,SNAR-A1,small ILF3/NF90-associated RNA A1,TRUE,1,
GSE63061,100127206,ILMN_1865663,0.00411121331645574,KIAA1024L,KIAA1024L,KIAA1024 like,TRUE,1,
GSE63061,100127983,ILMN_3273885,0.00198020261676719,C8orf88,C8orf88,chromosome 8 open reading frame 88,TRUE,1,
GSE63061,100128059,ILMN_1832033,0.00405950129237785,LOC100128059,LOC100128059,uncharacterized LOC100128059,TRUE,1,
GSE63061,100128124,ILMN_1899338,0.00177417595734155,HGC6.3,HGC6.3,uncharacterized LOC100128124,TRUE,1,
GSE63061,100128164,ILMN_3237165,0.00134638370613458,LOC100128164,LOC100128164,four and a half LIM domains 1 pseudogene,TRUE,1,
GSE63061,100128175,ILMN_1909743,0.00228019398755727,LOC100128175,LOC100128175,uncharacterized LOC100128175,TRUE,1,
