selection_role,model_id,model_family,feature_strategy,covariate_mode,leakage_class,n_model_features,feature_ids,train_auc,development_auc,final_auc,mean_ad_score_GSE63060,mean_ad_score_GSE63061,mean_ad_score_GSE85426,mean_control_score_GSE63060,mean_control_score_GSE63061,mean_control_score_GSE85426,reaches_final_auc_070,development_minus_final_auc
primary_gene_only,sig_dev_p_k3,signed_mean_signature,dev_p_top3,gene_only,primary_eligible,3,6166;4694;1069,0.875132625994695,0.780575539568345,0.566666666666667,0.480842865985738,0.444091370872873,0.0730712216053362,-0.670405918922426,-0.460661944412905,-0.0730712216053362,FALSE,0.213908872901679
primary_integrated_or_clinical,glmnet_dev_auc_k5_a05_lambda.min_clin,glmnet_alpha_0.5,dev_auc_top5_lambda.min,gene_plus_age_gender,primary_eligible,5,4694;4725;6166;6230;1069,0.875596816976127,0.784494792225921,0.568271604938272,0.721989146643151,0.688880584041233,0.60191048989294,0.387611285928788,0.45141024392202,0.557560650323878,FALSE,0.216223187287649
posthoc_upper_bound_not_primary,glmnet_dev_nominal_concordant_auc_k100_a0_lambda.min_clin,glmnet_alpha_0,dev_nominal_concordant_auc_top100_lambda.min,gene_plus_age_gender,posthoc_final_auc_upper_bound_not_primary,100,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521;5052;529;51503;6727;10312;54460;522;54543;442454;9553;6135;1933;79921;6229;168537;3945;23658;84154;64776;404672;153222;6645;199;10094;6728;5204;6128;101;1178;8837;3646;10412;653505;338692;6129;2959;51382;1316;4637;51399;3684;9170;26156;51650;5684;6154;6124;3301;6171;23053;7347;56943;153527;114785;388789;388962;3476;10632;6224;7297;51019;219402;6647;6152;3385;103910;2483;25983;3015;6144;22826;6741;4712;2079;6633;9349;4830;7381;51318;3687;3336;55262;6232;132299;29889,0.955238726790451,0.782937828841405,0.62037037037037,0.818738652313569,0.708768604116288,0.640552885643558,0.252720143633054,0.397159909077906,0.542082347272662,FALSE,0.162567458471034
