dataset_accession,signature_size_label,n_features,auc_oriented,mean_ad,mean_control,ad_minus_control,t_test_p
GSE63061,top20,20,0.751261677225384,0.361922739170943,-0.375427318990754,0.737350058161697,1.01165952221385e-14
GSE63061,top50,50,0.742456780843981,0.336018384104973,-0.348556383511875,0.684574767616848,1.39153085866255e-12
GSE63061,top100,100,0.730591646086116,0.307769779276659,-0.319253726264594,0.627023505541253,2.9416119784067e-11
GSE63061,all_mapped,476,0.703210565875658,0.238259362069823,-0.247149636773921,0.485408998843743,5.25942113170107e-09
GSE85426,top20,20,0.582962962962963,0.0829325330884349,-0.0829325330884349,0.16586506617687,0.0944021469198589
GSE85426,top50,50,0.576913580246914,0.076418987182391,-0.076418987182391,0.152837974364782,0.108546474454257
GSE85426,top100,100,0.575432098765432,0.0657145802479479,-0.0657145802479479,0.131429160495896,0.141116318825923
GSE85426,all_mapped,451,0.593086419753086,0.0480526888497639,-0.0480526888497639,0.0961053776995277,0.0807855178534449
