ranking_name,k,auc,mean_ad,mean_control
s3_oriented_by_gse85426_auc,5,0.687777777777778,0.195548793786696,-0.195548793786696
oracle_by_gse85426_auc,5,0.687777777777778,0.195548793786696,-0.195548793786696
s3_oriented_by_gse85426_auc,6,0.682962962962963,0.198507621664778,-0.198507621664778
oracle_by_gse85426_auc,6,0.682962962962963,0.198507621664778,-0.198507621664778
s3_oriented_by_gse85426_auc,4,0.681234567901235,0.193666228077182,-0.193666228077182
oracle_by_gse85426_auc,4,0.681234567901235,0.193666228077182,-0.193666228077182
s3_oriented_by_gse85426_auc,7,0.68037037037037,0.198773490017577,-0.198773490017577
oracle_by_gse85426_auc,7,0.68037037037037,0.198773490017577,-0.198773490017577
s3_oriented_by_gse85426_auc,8,0.680123456790123,0.195443233662126,-0.195443233662126
oracle_by_gse85426_auc,8,0.680123456790123,0.195443233662126,-0.195443233662126
s3_oriented_by_gse85426_auc,13,0.67716049382716,0.193976051850081,-0.193976051850081
oracle_by_gse85426_auc,13,0.67716049382716,0.193976051850081,-0.193976051850081
s3_oriented_by_gse85426_auc,10,0.676913580246914,0.195078174605572,-0.195078174605572
oracle_by_gse85426_auc,10,0.676913580246914,0.195078174605572,-0.195078174605572
s3_oriented_by_gse85426_auc,9,0.674691358024691,0.196359930489064,-0.196359930489064
oracle_by_gse85426_auc,9,0.674691358024691,0.196359930489064,-0.196359930489064
s3_oriented_by_gse85426_auc,14,0.674444444444444,0.191283939132357,-0.191283939132357
oracle_by_gse85426_auc,14,0.674444444444444,0.191283939132357,-0.191283939132357
s3_oriented_by_gse85426_auc,16,0.671851851851852,0.185405500400622,-0.185405500400622
oracle_by_gse85426_auc,16,0.671851851851852,0.185405500400622,-0.185405500400622
s3_oriented_by_gse85426_auc,3,0.670987654320988,0.191710738607812,-0.191710738607812
oracle_by_gse85426_auc,3,0.670987654320988,0.191710738607812,-0.191710738607812
s3_oriented_by_gse85426_auc,15,0.670493827160494,0.190127871299167,-0.190127871299167
oracle_by_gse85426_auc,15,0.670493827160494,0.190127871299167,-0.190127871299167
s3_oriented_by_gse85426_auc,11,0.670123456790123,0.194290444725243,-0.194290444725243
oracle_by_gse85426_auc,11,0.670123456790123,0.194290444725243,-0.194290444725243
s3_oriented_by_gse85426_auc,17,0.669135802469136,0.185370798483393,-0.185370798483393
oracle_by_gse85426_auc,17,0.669135802469136,0.185370798483393,-0.185370798483393
s3_oriented_by_gse85426_auc,12,0.669012345679012,0.194745769098468,-0.194745769098468
oracle_by_gse85426_auc,12,0.669012345679012,0.194745769098468,-0.194745769098468
s3_oriented_by_gse85426_auc,18,0.665061728395062,0.183323192303162,-0.183323192303162
oracle_by_gse85426_auc,18,0.665061728395062,0.183323192303162,-0.183323192303162
s3_oriented_by_gse85426_auc,19,0.661728395061728,0.182710978320598,-0.182710978320598
oracle_by_gse85426_auc,19,0.661728395061728,0.182710978320598,-0.182710978320598
