platform_id,source,local_path,file_size_bytes,sha256
GPL10558,https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL10nnn/GPL10558/annot/GPL10558.annot.gz,D:/three/data/raw/GPL10558.annot.gz,7290886,c914fdbe1130906ce3b9c97f5a75280591c89c617c168fb687c641f683e76b45
GPL14550,No standard GEO FTP annot/GPL14550.annot.gz file available; GSE85426 row-name Entrez ID suffix used,,,
