gene_id,gene_symbol,s3_logFC,s3_rank,raw_auc,oriented_auc_s3,oracle_auc,oracle_sign
84707,BEX2,-0.283036631532104,117,0.347592592592593,0.652407407407408,0.652407407407407,-1
23658,LSM5,-0.464085706040577,44,0.355432098765432,0.644567901234568,0.644567901234568,-1
9489,PGS1,0.200538093213489,363,0.639753086419753,0.639753086419753,0.639753086419753,1
915,CD3D,-0.576618970424699,106,0.365740740740741,0.634259259259259,0.634259259259259,-1
1163,CKS1B,-0.226652117623215,155,0.36716049382716,0.632839506172839,0.63283950617284,-1
9978,RBX1,-0.397755788455287,299,0.367283950617284,0.632716049382716,0.632716049382716,-1
56655,POLE4,-0.254041112471941,298,0.376111111111111,0.623888888888889,0.623888888888889,-1
170622,COMMD6,-0.803438456238976,239,0.379444444444444,0.620555555555556,0.620555555555556,-1
6633,SNRPD2,-0.579685442023776,96,0.38,0.62,0.62,-1
6647,SOD1,-0.405801710980362,78,0.381049382716049,0.618950617283951,0.618950617283951,-1
132299,OCIAD2,-0.272302067867086,219,0.381172839506173,0.618827160493827,0.618827160493827,-1
746,TMEM258,-0.244875060483421,120,0.383827160493827,0.616172839506173,0.616172839506173,-1
8837,CFLAR,0.204991377586431,443,0.611975308641975,0.611975308641975,0.611975308641975,1
6155,RPL27,-0.277420766169742,452,0.38858024691358,0.61141975308642,0.61141975308642,-1
7388,UQCRH,-0.745024242769376,15,0.39,0.61,0.61,-1
1890,TYMP,0.208593826471968,409,0.608148148148148,0.608148148148148,0.608148148148148,1
8673,VAMP8,-0.280404039032461,364,0.392222222222222,0.607777777777778,0.607777777777778,-1
6232,RPS27,-0.791665716678494,206,0.392592592592593,0.607407407407407,0.607407407407407,-1
51188,SS18L2,-0.385992324028182,235,0.393950617283951,0.606049382716049,0.606049382716049,-1
219927,MRPL21,-0.246162439101468,122,0.394382716049383,0.605617283950617,0.605617283950617,-1
10436,EMG1,-0.243447527197867,162,0.394567901234568,0.605432098765432,0.605432098765432,-1
100008589,RNA28S5,1.04242152836733,250,0.605185185185185,0.605185185185185,0.605185185185185,1
3945,LDHB,-0.497360243768656,102,0.395802469135802,0.604197530864198,0.604197530864198,-1
6191,RPS4X,-0.272774250806574,320,0.39641975308642,0.60358024691358,0.60358024691358,-1
4725,NDUFS5,-0.893634242601138,5,0.396481481481482,0.603518518518519,0.603518518518519,-1
23550,PSD4,0.235516283790337,216,0.603456790123457,0.603456790123457,0.603456790123457,1
1207,CLNS1A,-0.206595049604391,398,0.397098765432099,0.602901234567901,0.602901234567901,-1
5204,PFDN5,-0.642823154770431,159,0.397716049382716,0.602283950617284,0.602283950617284,-1
442454,UQCRBP1,-0.741341105469299,47,0.6,0.4,0.6,1
10988,METAP2,-0.381771403299288,121,0.40141975308642,0.59858024691358,0.59858024691358,-1
3181,HNRNPA2B1,-0.217141936929521,406,0.597530864197531,0.402469135802469,0.597530864197531,1
56942,CMC2,-0.277249530188643,300,0.404074074074074,0.595925925925926,0.595925925925926,-1
64776,C11orf1,-0.263618281138054,174,0.406358024691358,0.593641975308642,0.593641975308642,-1
3094,HINT1,-0.528329706221614,368,0.406604938271605,0.593395061728395,0.593395061728395,-1
4736,RPL10A,-0.214897994817065,464,0.406975308641975,0.593024691358025,0.593024691358025,-1
6136,RPL12,-0.257195024354915,268,0.408024691358025,0.591975308641975,0.591975308641975,-1
79921,TCEAL4,-0.217296165161465,151,0.40858024691358,0.59141975308642,0.59141975308642,-1
6235,RPS29,-0.268963764623321,352,0.409382716049383,0.590617283950617,0.590617283950617,-1
29080,CCDC59,-0.237632521349972,294,0.410308641975309,0.589691358024691,0.589691358024691,-1
6156,RPL30,-0.318995890198392,325,0.410555555555556,0.589444444444444,0.589444444444444,-1
6208,RPS14,-0.222957810406957,413,0.411234567901235,0.588765432098765,0.588765432098765,-1
6161,RPL32,-0.318335752031475,38,0.411543209876543,0.588456790123457,0.588456790123457,-1
84365,NIFK,-0.261530988199056,150,0.413086419753086,0.586913580246914,0.586913580246914,-1
93081,TEX30,-0.38506389188835,308,0.413086419753086,0.586913580246914,0.586913580246914,-1
9326,ZNHIT3,-0.364759951316087,286,0.413271604938272,0.586728395061728,0.586728395061728,-1
51650,MRPS33,-0.373374491169618,43,0.413827160493827,0.586172839506173,0.586172839506173,-1
128308,MRPL55,-0.247663628713359,160,0.414382716049383,0.585617283950617,0.585617283950617,-1
689,BTF3,-0.327834655302321,95,0.585432098765432,0.414567901234568,0.585432098765432,1
1609,DGKQ,0.215765044456504,275,0.41462962962963,0.41462962962963,0.58537037037037,-1
90843,TCEAL8,-0.245906623611272,90,0.414753086419753,0.585246913580247,0.585246913580247,-1
54460,MRPS21,-0.486386184402033,31,0.414814814814815,0.585185185185185,0.585185185185185,-1
5052,PRDX1,-0.336689197174901,50,0.415432098765432,0.584567901234568,0.584567901234568,-1
55854,ZC3H15,-0.233406392093245,175,0.415679012345679,0.584320987654321,0.584320987654321,-1
54165,DCUN1D1,0.208982132231438,241,0.583765432098765,0.583765432098765,0.583765432098765,1
51637,C14orf166,-0.272657159886091,208,0.416851851851852,0.583148148148148,0.583148148148148,-1
10023,FRAT1,0.205665924346742,342,0.582777777777778,0.582777777777778,0.582777777777778,1
55781,RIOK2,-0.241356510724644,127,0.417654320987654,0.582345679012346,0.582345679012346,-1
4051,CYP4F3,0.248707763066704,462,0.581049382716049,0.581049382716049,0.581049382716049,1
54148,MRPL39,-0.218898291922166,108,0.419691358024691,0.580308641975309,0.580308641975309,-1
51668,HSPB11,-0.312209602181305,130,0.419753086419753,0.580246913580247,0.580246913580247,-1
38,ACAT1,-0.293764637958466,147,0.420185185185185,0.579814814814815,0.579814814814815,-1
9782,MATR3,-0.298205316340058,423,0.420493827160494,0.579506172839506,0.579506172839506,-1
1880,GPR183,-0.203683625366401,470,0.420493827160494,0.579506172839506,0.579506172839506,-1
25983,NGDN,-0.355141827613803,29,0.420679012345679,0.579320987654321,0.579320987654321,-1
58515,SELK,-0.305185528115098,153,0.420679012345679,0.579320987654321,0.579320987654321,-1
7439,BEST1,0.218912642267077,391,0.579320987654321,0.579320987654321,0.579320987654321,1
5689,PSMB1,-0.354941265628633,133,0.421049382716049,0.578950617283951,0.578950617283951,-1
