model_id,model_family,feature_strategy,covariate_mode,leakage_class,n_model_features,feature_ids,train_auc,development_auc,final_auc,mean_ad_score_GSE63060,mean_ad_score_GSE63061,mean_ad_score_GSE85426,mean_control_score_GSE63060,mean_control_score_GSE63061,mean_control_score_GSE85426,reaches_final_auc_070,development_minus_final_auc
glmnet_dev_p_k451_a0_lambda.1se_gene,glmnet_alpha_0,dev_p_top451_lambda.1se,gene_only,primary_eligible,451,6166;4694;1069;6230;4725;51506;51258;10063;7388;529;23218;6119;5052;7979;6233;539;521;522;51503;6727;4637;199;2959;51382;9553;10312;79921;153527;10094;3646;153222;103910;6135;54460;54543;51399;653505;84154;3684;219402;404672;168537;6645;3945;10632;6124;6229;2079;23053;6728;1178;3301;56943;6128;442454;101;51019;6171;2483;22826;64776;6224;5204;1933;4830;23658;51023;26156;51639;6633;6144;5684;6232;8837;6152;7295;3015;7347;10412;25983;1337;51650;29093;1316;132299;114785;3476;6647;6156;7381;515;10987;3336;338692;6165;51372;6136;6154;51318;55262;7297;388962;221443;25949;6129;55505;4712;6170;55339;1622;64115;6741;59286;6218;9168;6139;9170;84661;6637;3687;54148;4190;84265;6191;8673;51668;4708;9349;27258;29081;9482;10199;6778;56945;1345;1163;23478;55299;4709;27089;6161;6629;246184;6404;6902;146225;127018;58515;84268;29889;3385;6643;51188;746;9326;6160;388789;8227;3320;689;5356;84817;915;5791;6742;8813;11235;5689;100287932;4724;6125;51574;1350;25847;23524;4116;253018;54849;80017;11224;84324;3101;5685;89849;51138;9978;10283;10988;84233;1349;51241;5701;64979;5917;7555;6279;51651;6189;4697;537;9013;6650;10436;51389;60492;27257;121260;51637;10923;10671;3094;5210;5464;90843;84365;8649;9550;51065;37;81892;23256;2000;23031;1051;53938;1347;1070;567;9535;55781;170622;54518;9551;8887;84186;2242;11025;79716;4068;1880;3820;7266;53917;54529;80162;6155;126014;326624;6556;64386;10482;5687;83716;55854;51816;9360;162073;114932;8883;51192;509;54951;80145;219927;301;51315;10153;84707;1609;10569;6625;9086;7178;54556;23412;55012;1441;38;50856;5706;58986;837;9605;3148;50807;10576;9586;6194;11222;65056;51121;2205;6208;7439;805;85441;6653;100008589;57665;56942;54499;79657;55847;5330;91663;8291;23550;8408;9126;129531;9556;10347;34;51060;91942;27436;10294;11237;1843;1653;7411;6122;23405;51510;55629;393;51699;7318;64422;29080;115207;87;9997;6916;1207;6001;2357;6235;5473;51020;334;401466;7913;834;26354;4927;10240;25994;5108;8743;55848;51187;55863;55900;3001;56655;9489;8644;6418;285172;8766;9782;1043;23429;80315;5110;51185;3312;64926;57035;10023;64431;6494;92799;4666;290;51307;51522;6222;2896;10600;2358;2665;5293;3150;51643;1890;4051;23643;2745;8087;2963;10559;26019;8751;29121;79415;6283;6726;9647;80305;1120;168544;3329;55924;91662;2629;54165;10307;3805;9403;2309;83939;55573;27439;51742;10808;51759;1974;9774;3092;93081;226;7905;5495;5775;57583;54861;10476;387066;51747;10875;4318;4736;100287171;353514;23484;10550;51348;6253;1871;4689;7130;5997;6286;128308;3181;91860;10299;7852;11335,0.87712201591512,0.761838290561581,0.595061728395062,0.703284504426327,0.663805144605267,0.595627347441599,0.413689893197554,0.490490538649339,0.564018065980326,FALSE,0.166776562166519
sigclin_dev_auc_k16,signature_plus_clinical_glm,dev_auc_top16,gene_plus_age_gender,primary_eligible,16,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521;5052,0.853912466843501,0.761730913776442,0.584567901234568,0.732113159049681,0.689637152363634,0.576739767206446,0.373496076324965,0.443668069212923,0.510159169454564,FALSE,0.177163012541874
sigclin_dev_fdr_concordant_auc_k16,signature_plus_clinical_glm,dev_fdr_concordant_auc_top16,gene_plus_age_gender,primary_eligible,16,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521;5052,0.853912466843501,0.761730913776442,0.584567901234568,0.732113159049681,0.689637152363634,0.576739767206446,0.373496076324965,0.443668069212923,0.510159169454564,FALSE,0.177163012541874
sigclin_dev_nominal_concordant_auc_k16,signature_plus_clinical_glm,dev_nominal_concordant_auc_top16,gene_plus_age_gender,primary_eligible,16,4694;4725;6166;6230;1069;51506;51258;6119;7388;10063;23218;7979;539;6233;521;5052,0.853912466843501,0.761730913776442,0.584567901234568,0.732113159049681,0.689637152363634,0.576739767206446,0.373496076324965,0.443668069212923,0.510159169454564,FALSE,0.177163012541874
glmnet_s3_rank_k50_a0_lambda.1se_clin,glmnet_alpha_0,s3_rank_top50_lambda.1se,gene_plus_age_gender,primary_eligible,50,51258;4694;6166;1069;4725;6230;7979;529;6119;10063;54556;91860;521;6233;7388;3336;6902;84154;56943;539;3301;404672;7381;9553;29889;6741;51506;25983;168537;54460;51382;51503;221443;6629;84324;6161;7347;653505;5684;1070;51650;23658;81892;2959;442454;51019;199;5052;11335;29093,0.881299734748011,0.761623536991302,0.564691358024691,0.731175602818323,0.68232857442941,0.593302088088932,0.374803251176143,0.459580726742122,0.545545319302779,FALSE,0.196932178966611
sig_s3_rank_k15,signed_mean_signature,s3_rank_top15,gene_only,primary_eligible,15,51258;4694;6166;1069;4725;6230;7979;529;6119;10063;54556;91860;521;6233;7388,0.868567639257294,0.761462471813594,0.57962962962963,0.460237957741075,0.373588636716224,0.0810674357731383,-0.641677921850537,-0.38752851122056,-0.0810674357731383,FALSE,0.181832842183964
sig_dev_auc_k1,signed_mean_signature,dev_auc_top1,gene_only,primary_eligible,1,4694,0.861571618037135,0.761408783421024,0.534320987654321,0.510733286823369,0.446895250099031,0.0742281173833902,-0.712080063359507,-0.46357044599825,-0.0742281173833902,FALSE,0.227087795766703
sig_dev_fdr_concordant_auc_k1,signed_mean_signature,dev_fdr_concordant_auc_top1,gene_only,primary_eligible,1,4694,0.861571618037135,0.761408783421024,0.534320987654321,0.510733286823369,0.446895250099031,0.0742281173833902,-0.712080063359507,-0.46357044599825,-0.0742281173833902,FALSE,0.227087795766703
sig_dev_nominal_concordant_auc_k1,signed_mean_signature,dev_nominal_concordant_auc_top1,gene_only,primary_eligible,1,4694,0.861571618037135,0.761408783421024,0.534320987654321,0.510733286823369,0.446895250099031,0.0742281173833902,-0.712080063359507,-0.46357044599825,-0.0742281173833902,FALSE,0.227087795766703
glmnet_dev_auc_k5_a05_lambda.1se_gene,glmnet_alpha_0.5,dev_auc_top5_lambda.1se,gene_only,primary_eligible,5,4694;4725;6166;6230;1069,0.861571618037135,0.761408783421024,0.534320987654321,0.588729574154289,0.587920611920483,0.58323859140359,0.573405880085843,0.576528992137718,0.58141190507935,FALSE,0.227087795766703
