dataset_accession,gene_id,gene_symbol,s3_rank,s3_logFC,validation_logFC,validation_P.Value,validation_adj.P.Val,direction_concordant,nominal_concordant,fdr_concordant,auc_oriented,s3_adj.P.Val,s3_P.Value,validation_AveExpr,validation_t,validation_B,mapped,auc_ge_060
GSE140829,7381,UQCRB,24,-0.353627532557438,-0.0156221269245491,0.529795371104637,0.846285215176253,TRUE,FALSE,FALSE,0.508138150059548,9.13012618729424e-13,6.67093401294919e-16,7.700503229189,-0.628854479041994,-6.6739965855632,TRUE,FALSE
GSE140829,9553,MRPL33,25,-0.374113802661579,-0.0446490939074244,0.124052557503865,0.533556157335026,TRUE,FALSE,FALSE,0.516585064619999,1.24168032228779e-12,9.39635962276131e-16,10.7826805526508,-1.54115419846775,-5.69556212897398,TRUE,FALSE
GSE140829,29889,GNL2,26,-0.268351303727897,-0.0317201688432794,0.131260866469505,0.54048512930972,TRUE,FALSE,FALSE,0.544153323629306,1.30810425633003e-12,1.02403652444812e-15,8.95072696661497,-1.51217789458202,-5.73918746213792,TRUE,FALSE
GSE140829,6741,SSB,27,-0.399719184416402,-0.062028877438581,0.0400818852594971,0.375829383955179,TRUE,TRUE,FALSE,0.552512019760928,1.47336112887039e-12,1.21013709934193e-15,8.82614280413214,-2.05946756253074,-4.77754512131852,TRUE,FALSE
GSE140829,51506,UFC1,28,-0.371481145035344,-0.0345311663715339,0.139225326232126,0.548455932650297,TRUE,FALSE,FALSE,0.5254730713246,1.47336112887039e-12,1.23029998757509e-15,10.2133005202236,-1.48156774889409,-5.78438326711998,TRUE,FALSE
GSE140829,25983,NGDN,29,-0.355141827613803,-0.0622709546532525,0.0261516165523545,0.326715556998657,TRUE,TRUE,FALSE,0.553195712584359,1.66154999174863e-12,1.4308008383619e-15,8.50458997009603,-2.2320639816905,-4.41435096678324,TRUE,FALSE
GSE140829,168537,GIMAP7,30,-0.639635546037978,-0.0811852639454546,0.0572430885077606,0.416922667869508,TRUE,FALSE,FALSE,0.566516695337656,1.92313151518859e-12,1.70623849267815e-15,11.0624219349524,-1.90682935963302,-5.07488832669091,TRUE,FALSE
GSE140829,54460,MRPS21,31,-0.486386184402033,-0.0635067129435568,0.102324575595405,0.502260666270721,TRUE,FALSE,FALSE,0.546204402099599,2.47957480247868e-12,2.32933283464413e-15,9.5326255131293,-1.63735904723247,-5.5448554722144,TRUE,FALSE
GSE140829,51382,ATP6V1D,32,-0.43698170478466,-0.00588408022884796,0.814606516958936,0.948939537874156,TRUE,FALSE,FALSE,0.491398703189096,2.47957480247868e-12,2.31972559954511e-15,9.67781641017605,-0.234638790196351,-6.84271680708859,TRUE,FALSE
GSE140829,51503,CWC15,33,-0.333103103598264,-0.0425035898196848,0.156173796762381,0.570685826020615,TRUE,FALSE,FALSE,0.526972784614706,4.17669430942656e-12,4.03261023560312e-15,8.98866614944026,-1.42067277143939,-5.87157512779627,TRUE,FALSE
