gene_set,background,database,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-1430728,Metabolism,other_or_unclassified,89/245,0.363265306122449,104/348,0.298850574712644,2.2755609166564e-05,0.00048011765231644,0.000421672590991514,89,NDUFA1/RPL36AL/NDUFS5/RPS25/SEM1/COX17/RPS27A/UQCRH/ATP5PO/UQCRB/RPL32/PSMA3/PSMC2/DBI/UQCRHL/RPS24/ATP5PF/ATP5MF/NDUFAF2/NME1/COX16/RPL26/NDUFS4/LDHB/ATP5PB/RPL6/RPL11/PSMB1/RPL21/RPL17/COX7B/ACAT1/TMEM126A/RPL7/MDH1/RPL24/RPL23/COX6A1/ATP5MG/RPS17/NDUFB2/RPL31/UQCRQ/RPS27/RPS27L/ATP5PD/RARS1/NUP88/RPS20/COX7A2/COX7C/RPL5/RPL35A/PSMC6/GBA1/RPL12/COXFA4/PPA1/RPL39/TBXAS1/ATP5MJ/HIGD1A/RPL4/HK3/RPL35/CALM2/RPS4X/TMEM126B/PIK3CD/RPL30/PSMA6/COX6C/RPL41/RPS29/ACADM/CSAD/PGS1/RPS3A/TYMP/RPS14/PFKFB4/RPL3/RPS6/AKR1C3/RPL27/RPS18/CYP4F3/CA4/RPL10A,0.855769230769231,1.21554160125589,4.04279787364321,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-156902,Peptide chain elongation,other_or_unclassified,35/245,0.142857142857143,36/348,0.103448275862069,2.65095636248341e-05,0.00048011765231644,0.000421672590991514,35,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972222222222222,1.38095238095238,3.71769547522418,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-192823,Viral mRNA Translation,ribosomal_translation,35/245,0.142857142857143,36/348,0.103448275862069,2.65095636248341e-05,0.00048011765231644,0.000421672590991514,35,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972222222222222,1.38095238095238,3.71769547522418,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-2408557,Selenocysteine synthesis,other_or_unclassified,35/245,0.142857142857143,36/348,0.103448275862069,2.65095636248341e-05,0.00048011765231644,0.000421672590991514,35,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972222222222222,1.38095238095238,3.71769547522418,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72764,Eukaryotic Translation Termination,ribosomal_translation,35/245,0.142857142857143,36/348,0.103448275862069,2.65095636248341e-05,0.00048011765231644,0.000421672590991514,35,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972222222222222,1.38095238095238,3.71769547522418,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),other_or_unclassified,35/245,0.142857142857143,36/348,0.103448275862069,2.65095636248341e-05,0.00048011765231644,0.000421672590991514,35,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972222222222222,1.38095238095238,3.71769547522418,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,ribosomal_translation,35/245,0.142857142857143,36/348,0.103448275862069,2.65095636248341e-05,0.00048011765231644,0.000421672590991514,35,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972222222222222,1.38095238095238,3.71769547522418,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,ribosomal_translation,35/245,0.142857142857143,36/348,0.103448275862069,2.65095636248341e-05,0.00048011765231644,0.000421672590991514,35,RPL36AL/RPS25/RPS27A/RPL32/RPS24/RPL26/RPL6/RPL11/RPL21/RPL17/RPL7/RPL24/RPL23/RPS17/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.972222222222222,1.38095238095238,3.71769547522418,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-72312,rRNA processing,rna_processing,39/245,0.159183673469388,41/348,0.117816091954023,4.25511902136484e-05,0.000693584400482469,0.000609153880953282,39,RPL36AL/RPS25/RPS27A/RPL32/RPS24/GNL3/RPL26/RPL6/RIOK2/RPL11/RPL21/RPL17/RPL7/EMG1/RPL24/RPL23/RPS17/MPHOSPH10/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.951219512195122,1.35111996017919,3.68644217854509,,
stable_directional_sensitivity,candidate_background,Reactome,R-HSA-8868773,rRNA processing in the nucleus and cytosol,rna_processing,39/245,0.159183673469388,41/348,0.117816091954023,4.25511902136484e-05,0.000693584400482469,0.000609153880953282,39,RPL36AL/RPS25/RPS27A/RPL32/RPS24/GNL3/RPL26/RPL6/RIOK2/RPL11/RPL21/RPL17/RPL7/EMG1/RPL24/RPL23/RPS17/MPHOSPH10/RPL31/RPS27/RPS27L/RPS20/RPL5/RPL35A/RPL12/RPL39/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS29/RPS3A/RPS14/RPL3/RPS6/RPL27/RPS18/RPL10A,0.951219512195122,1.35111996017919,3.68644217854509,,
