gene_set,database,background,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory,term_status
stable_strict_primary,KEGG,candidate_background,hsa04066,HIF-1 signaling pathway,other_or_unclassified,4/75,0.0533333333333333,6/279,0.021505376344086,0.0465532122259308,0.915546507109973,0.914729784088465,4,3945/9978/3101/6194,0.666666666666667,2.48,2.21816558556039,Environmental Information Processing,Signal transduction,ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa03420,Nucleotide excision repair,other_or_unclassified,3/75,0.04,5/279,0.017921146953405,0.122406133484631,0.983704241225709,0.982826717370913,3,1069/404672/9978,0.6,2.232,1.6825127908998,Genetic Information Processing,Replication and repair,ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa04137,Mitophagy - animal,other_or_unclassified,3/75,0.04,5/279,0.017921146953405,0.122406133484631,0.983704241225709,0.982826717370913,3,6233/54543/8408,0.6,2.232,1.6825127908998,Cellular Processes,Transport and catabolism,ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa05160,Hepatitis C,other_or_unclassified,3/75,0.04,5/279,0.017921146953405,0.122406133484631,0.983704241225709,0.982826717370913,3,7297/3646/8837,0.6,2.232,1.6825127908998,Human Diseases,Infectious disease: viral,ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa04140,Autophagy - animal,other_or_unclassified,4/75,0.0533333333333333,9/279,0.032258064516129,0.199401588046734,0.983704241225709,0.982826717370913,4,6233/8408/8673/8837,0.444444444444444,1.65333333333333,1.2059023325833,Cellular Processes,Transport and catabolism,ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa04120,Ubiquitin mediated proteolysis,proteostasis_ubiquitin,3/75,0.04,7/279,0.025089605734767,0.282030687562006,0.983704241225709,0.982826717370913,3,6233/246184/9978,0.428571428571429,1.59428571428571,0.963824151265432,Genetic Information Processing,"Folding, sorting and degradation",ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa03008,Ribosome biogenesis in eukaryotes,ribosomal_translation,3/75,0.04,8/279,0.028673835125448,0.368266191934172,0.983704241225709,0.982826717370913,3,26354/10436/100008589,0.375,1.395,0.686112591625629,Genetic Information Processing,Translation,ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa04072,Phospholipase D signaling pathway,other_or_unclassified,2/75,0.0266666666666667,5/279,0.017921146953405,0.407114358483042,0.983704241225709,0.982826717370913,2,9170/2205,0.4,1.488,0.666449871720051,Environmental Information Processing,Signal transduction,ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa04110,Cell cycle,cell_cycle_dna_chromatin,2/75,0.0266666666666667,5/279,0.017921146953405,0.407114358483042,0.983704241225709,0.982826717370913,2,246184/9978,0.4,1.488,0.666449871720051,Cellular Processes,Cell growth and death,ranked_not_significant
stable_strict_primary,KEGG,candidate_background,hsa04910,Insulin signaling pathway,other_or_unclassified,2/75,0.0266666666666667,5/279,0.017921146953405,0.407114358483042,0.983704241225709,0.982826717370913,2,3101/6194,0.4,1.488,0.666449871720051,Organismal Systems,Endocrine system,ranked_not_significant
stable_strict_primary,Reactome,candidate_background,R-HSA-156842,Eukaryotic Translation Elongation,ribosomal_translation,26/84,0.30952380952381,37/348,0.10632183908046,3.10672277085806e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/EEF1B2/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.702702702702703,2.91119691119691,6.92673414603208,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-2408522,Selenoamino acid metabolism,other_or_unclassified,26/84,0.30952380952381,37/348,0.10632183908046,3.10672277085806e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RARS1/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.702702702702703,2.91119691119691,6.92673414603208,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-72689,Formation of a pool of free 40S subunits,other_or_unclassified,26/84,0.30952380952381,37/348,0.10632183908046,3.10672277085806e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.702702702702703,2.91119691119691,6.92673414603208,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,rna_processing,27/84,0.321428571428571,40/348,0.114942528735632,5.49868562220006e-10,2.3838092656055e-08,2.06933545271291e-08,27,RPL36AL/RPS25/RPS27A/RPL32/GNL3/RPL26/RPL11/RPL21/RPL7/EMG1/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.675,2.79642857142857,6.80247584196639,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,ribosomal_translation,26/84,0.30952380952381,38/348,0.109195402298851,8.08032323152815e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.68421052631579,2.83458646616541,6.74918843643633,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-72613,Eukaryotic Translation Initiation,ribosomal_translation,26/84,0.30952380952381,38/348,0.109195402298851,8.08032323152815e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.68421052631579,2.83458646616541,6.74918843643633,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,ribosomal_translation,26/84,0.30952380952381,38/348,0.109195402298851,8.08032323152815e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.68421052631579,2.83458646616541,6.74918843643633,,,significant_fdr005
stable_strict_primary,Reactome,candidate_background,R-HSA-72737,Cap-dependent Translation Initiation,ribosomal_translation,26/84,0.30952380952381,38/348,0.109195402298851,8.08032323152815e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.68421052631579,2.83458646616541,6.74918843643633,,,significant_fdr005
