gene_set,database,background,ID,Description,module,GeneRatio,gene_ratio_numeric,BgRatio,bg_ratio_numeric,pvalue,p.adjust,qvalue,Count,geneID,RichFactor,FoldEnrichment,zScore,category,subcategory
stable_strict_primary,GO_BP,candidate_background,GO:0140694,membraneless organelle assembly,other_or_unclassified,11/96,0.114583333333333,18/444,0.0405405405405405,0.000238949102714713,0.0195503811312038,0.0195503811312038,11,CETN2/RPF2/GTF2B/BRIX1/RPL11/RPL24/RPS27/RPL5/RPS14/CFLAR/RPS6,0.611111111111111,2.82638888888889,4.15023383851124,,
stable_strict_primary,GO_BP,candidate_background,GO:0000027,ribosomal large subunit assembly,ribosomal_translation,5/96,0.0520833333333333,5/444,0.0112612612612613,0.000434803705096021,0.0326102778822016,0.0326102778822016,5,RPF2/BRIX1/RPL11/RPL24/RPL5,1,4.625,4.27669826662828,,
stable_strict_primary,KEGG,candidate_background,hsa05171,Coronavirus disease - COVID-19,other_or_unclassified,26/75,0.346666666666667,40/279,0.14336917562724,4.21969085217609e-08,2.4896176027839e-06,2.4873967128617e-06,26,6166/6230/6233/6161/7297/6154/6135/6144/6129/6152/9349/6232/6224/6125/6165/6136/6124/11224/6191/6156/6171/6189/6208/6194/6155/6222,0.65,2.418,5.86469217643951,Human Diseases,Infectious disease: viral
stable_strict_primary,KEGG,candidate_background,hsa03010,Ribosome,ribosomal_translation,28/75,0.373333333333333,52/279,0.186379928315412,3.68402543258316e-06,0.000108678750261203,0.000108581802223504,28,51258/6166/6230/6233/6161/51650/6154/6135/6144/6129/6152/9349/6232/6224/6125/100008589/6165/6136/6124/11224/6191/6156/6171/6189/6208/6194/6155/6222,0.538461538461538,2.00307692307692,4.85356587267418,Genetic Information Processing,Translation
stable_strict_primary,Reactome,candidate_background,R-HSA-156842,Eukaryotic Translation Elongation,ribosomal_translation,26/84,0.30952380952381,37/348,0.10632183908046,3.10672277085806e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/EEF1B2/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.702702702702703,2.91119691119691,6.92673414603208,,
stable_strict_primary,Reactome,candidate_background,R-HSA-2408522,Selenoamino acid metabolism,other_or_unclassified,26/84,0.30952380952381,37/348,0.10632183908046,3.10672277085806e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RARS1/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.702702702702703,2.91119691119691,6.92673414603208,,
stable_strict_primary,Reactome,candidate_background,R-HSA-72689,Formation of a pool of free 40S subunits,other_or_unclassified,26/84,0.30952380952381,37/348,0.10632183908046,3.10672277085806e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.702702702702703,2.91119691119691,6.92673414603208,,
stable_strict_primary,Reactome,candidate_background,R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,rna_processing,27/84,0.321428571428571,40/348,0.114942528735632,5.49868562220006e-10,2.3838092656055e-08,2.06933545271291e-08,27,RPL36AL/RPS25/RPS27A/RPL32/GNL3/RPL26/RPL11/RPL21/RPL7/EMG1/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.675,2.79642857142857,6.80247584196639,,
stable_strict_primary,Reactome,candidate_background,R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,ribosomal_translation,26/84,0.30952380952381,38/348,0.109195402298851,8.08032323152815e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.68421052631579,2.83458646616541,6.74918843643633,,
stable_strict_primary,Reactome,candidate_background,R-HSA-72613,Eukaryotic Translation Initiation,ribosomal_translation,26/84,0.30952380952381,38/348,0.109195402298851,8.08032323152815e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.68421052631579,2.83458646616541,6.74918843643633,,
stable_strict_primary,Reactome,candidate_background,R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,ribosomal_translation,26/84,0.30952380952381,38/348,0.109195402298851,8.08032323152815e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.68421052631579,2.83458646616541,6.74918843643633,,
stable_strict_primary,Reactome,candidate_background,R-HSA-72737,Cap-dependent Translation Initiation,ribosomal_translation,26/84,0.30952380952381,38/348,0.109195402298851,8.08032323152815e-10,2.3838092656055e-08,2.06933545271291e-08,26,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/EIF3E/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.68421052631579,2.83458646616541,6.74918843643633,,
stable_strict_primary,Reactome,candidate_background,R-HSA-156902,Peptide chain elongation,other_or_unclassified,25/84,0.297619047619048,36/348,0.103448275862069,1.16094607091177e-09,2.3838092656055e-08,2.06933545271291e-08,25,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.694444444444445,2.87698412698413,6.69941637320407,,
stable_strict_primary,Reactome,candidate_background,R-HSA-192823,Viral mRNA Translation,ribosomal_translation,25/84,0.297619047619048,36/348,0.103448275862069,1.16094607091177e-09,2.3838092656055e-08,2.06933545271291e-08,25,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.694444444444445,2.87698412698413,6.69941637320407,,
stable_strict_primary,Reactome,candidate_background,R-HSA-2408557,Selenocysteine synthesis,other_or_unclassified,25/84,0.297619047619048,36/348,0.103448275862069,1.16094607091177e-09,2.3838092656055e-08,2.06933545271291e-08,25,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.694444444444445,2.87698412698413,6.69941637320407,,
stable_strict_primary,Reactome,candidate_background,R-HSA-72764,Eukaryotic Translation Termination,ribosomal_translation,25/84,0.297619047619048,36/348,0.103448275862069,1.16094607091177e-09,2.3838092656055e-08,2.06933545271291e-08,25,RPL36AL/RPS25/RPS27A/RPL32/RPL26/RPL11/RPL21/RPL7/RPL24/RPL23/RPS27/RPS20/RPL5/RPL35A/RPL12/RPL4/RPL35/RPS4X/RPL30/RPL41/RPS3A/RPS14/RPS6/RPL27/RPS18,0.694444444444445,2.87698412698413,6.69941637320407,,
