feature_id,gene_symbol,s3_logFC,base_logFC,base_p_value,base_adj_p_value,adjusted_logFC,adjusted_p_value,adjusted_adj_p_value,dataset_accession,base_direction_concordant,adjusted_direction_concordant,base_nominal_concordant,adjusted_nominal_concordant,same_direction_after_adjustment,abs_logfc_change,adjusted_to_base_abs_ratio
8837,CFLAR,0.204991377586431,0.318220772927255,0.00814475528642081,0.119046529126797,0.320080988366677,0.00637044456518454,0.212348152172818,GSE85426,TRUE,TRUE,TRUE,TRUE,TRUE,0.00186021543942261,1.00584567569964
6194,RPS6,-0.256404831251058,-0.161338932558684,0.24053711772584,0.414719168492827,0.0426669461179946,0.505102131716788,0.789222080807482,GSE85426,TRUE,FALSE,FALSE,FALSE,FALSE,0.204005878676679,0.264455363881098
6556,SLC11A1,0.252560271387828,0.0932237553718665,0.380701133672669,0.543858762389527,0.0400453267256966,0.639605601440772,0.858248342913803,GSE85426,TRUE,TRUE,FALSE,FALSE,TRUE,0.0531784286461699,0.429561398443531
6155,RPL27,-0.277420766169742,-0.345504527699455,0.036410756089245,0.14564302435698,-0.0823895915592189,0.404757448328914,0.686029573438838,GSE85426,TRUE,TRUE,TRUE,FALSE,TRUE,0.263114936140236,0.238461684157399
6222,RPS18,-0.251143150924868,-0.201066510057402,0.113728974405483,0.280693840690765,0.0364072989561625,0.569625241837968,0.802289073011223,GSE85426,TRUE,FALSE,FALSE,FALSE,FALSE,0.237473809013564,0.181070924967906
4051,CYP4F3,0.248707763066704,0.29588382175348,0.115084474683214,0.280693840690765,0.259370133696146,0.0168254793662222,0.318001241944016,GSE85426,TRUE,TRUE,FALSE,TRUE,TRUE,0.0365136880573344,0.876594509828401
290,ANPEP,0.22651880880428,0.109886458480772,0.467414178922297,0.584267723652872,-0.00141674032865029,0.98880486738285,0.992882690418785,GSE85426,TRUE,FALSE,FALSE,FALSE,FALSE,0.111303198809422,0.0128927653892694
11237,RNF24,0.204184592771483,0.0851601789135447,0.439209248849085,0.5725628391055,0.0507424505279468,0.486265020150367,0.771849238333916,GSE85426,TRUE,TRUE,FALSE,FALSE,TRUE,0.0344177283855978,0.595847157383981
8291,DYSF,0.236147208114743,0.172868800679093,0.277156415863176,0.433056899786212,0.113209544247573,0.244220085234545,0.587897385233871,GSE85426,TRUE,TRUE,FALSE,FALSE,TRUE,0.05965925643152,0.654887080854636
83716,CRISPLD2,0.222239431408083,0.331718292386321,0.0390469667941442,0.150180641515939,0.235758852757159,0.124188377748655,0.441059007645408,GSE85426,TRUE,TRUE,TRUE,FALSE,TRUE,0.0959594396291615,0.71072008438592
MRPL51,MRPL51,-0.554343558406056,-0.0419320807534187,0.0956217547541056,0.109588977358638,-0.0169561769885206,0.467346134064793,0.535610176119201,GSE140829,TRUE,TRUE,FALSE,FALSE,TRUE,0.0249759037648981,0.404372420444177
RPL36AL,RPL36AL,-0.686679509222695,-0.0626656525695774,0.0176534044791565,0.0404468762645459,-0.0481117135824879,0.0641386133035672,0.208673510647936,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0145539389870895,0.767752534437739
CETN2,CETN2,-0.335911876636125,-0.0455815728046734,0.016208673219811,0.0393639206766839,-0.0429894548677628,0.02398791614831,0.176493344386966,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.00259211793691056,0.943132327881306
NDUFS5,NDUFS5,-0.893634242601138,-0.105121414353758,0.0183715845239672,0.0404468762645459,-0.0640451109507945,0.126196235235501,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.041076303402963,0.609248946511204
RPS25,RPS25,-0.648386927571901,-0.0761114152638279,0.000795264290448437,0.00901299529174895,-0.0517460704460451,0.0116330352629313,0.148321199602374,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0243653448177828,0.679872661238472
COX17,COX17,-0.51447204263436,-0.0602796098220057,0.0471649988919934,0.0601353735872916,-0.0414430637908782,0.161424191323117,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0188365460311275,0.687513802980008
RPS27A,RPS27A,-0.471002989560041,-0.0554745848414594,0.0224704896460662,0.0413623022370481,-0.0263528406644346,0.222641018691471,0.31678248879961,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0291217441770248,0.475043494958066
UQCRH,UQCRH,-0.745024242769376,-0.121691037658916,0.00392637446478496,0.0222494553004481,-0.0874864966109976,0.0284696138647889,0.176493344386966,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.034204541047918,0.71892308829029
RPF2,RPF2,-0.36828805464016,-0.0471120795969993,0.0300161604540449,0.0467464235474285,-0.0257861557194166,0.198931456437142,0.289871550808407,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0213259238775827,0.547336393128759
GTF2H5,GTF2H5,-0.427252626934122,-0.0662172034059803,0.000725435305766035,0.00901299529174895,-0.0589757511318391,0.00232791299323054,0.0725458931933708,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.0072414522741412,0.890640922575006
NGDN,NGDN,-0.355141827613803,-0.0622709546532525,0.0265747462033213,0.0451770685456462,-0.0292527157588259,0.244237710788749,0.336651979735844,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0330182388944267,0.469765011982162
RPL32,RPL32,-0.318335752031475,-0.0440063110753744,0.0107543792724285,0.0304707412718809,-0.0203693257827756,0.157260445262253,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0236369852925987,0.462872830851168
MRPS33,MRPS33,-0.373374491169618,-0.0653078047644043,0.0311642823649523,0.0467464235474285,-0.0386806593847027,0.17519271081829,0.266711291096502,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0266271453797016,0.592282339365745
LSM5,LSM5,-0.464085706040577,-0.0122825822961758,0.735773585185505,0.735773585185505,0.028928186134277,0.380608345351192,0.467735556937609,GSE140829,TRUE,FALSE,FALSE,FALSE,FALSE,0.0412107684304528,2.35522021645918
GTF2B,GTF2B,-0.383973101583747,-0.0528491470052658,0.028322126350149,0.0467464235474285,-0.0512860842302376,0.0346065381150914,0.176493344386966,GSE140829,TRUE,TRUE,TRUE,TRUE,TRUE,0.00156306277502823,0.970424068057854
TOMM7,TOMM7,-0.95861121478525,-0.132308266241844,0.0210874210414256,0.0413623022370481,-0.0784989785630856,0.144502986962786,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0538092876787581,0.59330365964889
UQCRHL,UQCRHL,-0.597470910250404,-0.0928164794046424,0.0284708345821114,0.0467464235474285,-0.0589013870346073,0.145421006471176,0.257902793673959,GSE140829,TRUE,TRUE,TRUE,FALSE,TRUE,0.0339150923700352,0.634600530125916
