gene_id,gene_symbol,gene_title,s3_rank,s3_probe_id,s3_logFC,s3_abs_logFC,s3_adj.P.Val,s3_P.Value,s3_direction,gse63061_validation_gene_symbol,gse63061_validation_logFC,gse63061_validation_p_value,gse63061_validation_adj_p_value,gse63061_direction_concordant,gse63061_nominal_concordant,gse63061_fdr_concordant,gse63061_auc_oriented,gse63061_mapped,gse85426_validation_gene_symbol,gse85426_validation_logFC,gse85426_validation_p_value,gse85426_validation_adj_p_value,gse85426_direction_concordant,gse85426_nominal_concordant,gse85426_fdr_concordant,gse85426_auc_oriented,gse85426_mapped,gse140829_validation_gene_symbol,gse140829_validation_logFC,gse140829_validation_p_value,gse140829_validation_adj_p_value,gse140829_direction_concordant,gse140829_nominal_concordant,gse140829_fdr_concordant,gse140829_auc_oriented,gse140829_mapped,gse63061_reversed,gse85426_reversed,gse140829_reversed,cross_mapped_count,cross_direction_count,cross_nominal_count,cross_fdr_count,cross_reversal_count,cross_max_auc,cross_min_auc,near_cohort_anchor,near_cohort_nominal,stable_strict,stable_directional,unstable_reversal,unstable_vanish,unstable_primary,transportability_class,biological_keyword_category,direction_membership,nominal_membership
25983,NGDN,neuroguidin,29,ILMN_2324998,-0.355141827613803,0.355141827613803,1.66154999174863e-12,1.4308008383619e-15,AD_down,NGDN,-0.166526770415053,4.41514342080326e-07,6.37610351670957e-05,TRUE,TRUE,TRUE,0.673950391925266,TRUE,NGDN,-0.204095913052911,0.0454079952873118,0.566804526136723,TRUE,TRUE,FALSE,0.579320987654321,TRUE,NGDN,-0.0622709546532525,0.0261516165523545,0.326715556998657,TRUE,TRUE,FALSE,0.553195712584359,TRUE,FALSE,FALSE,FALSE,2,2,2,0,0,0.579320987654321,0.553195712584359,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426|GSE140829
6161,RPL32,ribosomal protein L32,38,ILMN_1663799,-0.318335752031475,0.318335752031475,1.00266651305633e-11,1.12850514836585e-14,AD_down,RPL32,-0.184553594554075,3.77065915634071e-06,0.000297752050621387,TRUE,TRUE,TRUE,0.668152045527757,TRUE,RPL32,-0.20066786373191,0.129701240136284,0.668355266603757,TRUE,FALSE,FALSE,0.588456790123457,TRUE,RPL32,-0.0440063110753744,0.00982427643050396,0.229323352683452,TRUE,TRUE,FALSE,0.575669357328746,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.588456790123457,0.575669357328746,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
51650,MRPS33,mitochondrial ribosomal protein S33,43,ILMN_1741264,-0.373374491169618,0.373374491169618,1.30740497861702e-11,1.73993147303032e-14,AD_down,MRPS33,-0.161922558100348,5.41325531852751e-07,7.36183195189111e-05,TRUE,TRUE,TRUE,0.682379469558681,TRUE,MRPS33,-0.131363668822936,0.0832803405578287,0.614241637704363,TRUE,FALSE,FALSE,0.586172839506173,TRUE,MRPS33,-0.0653078047644043,0.0308262363902401,0.341760777510935,TRUE,TRUE,FALSE,0.563340831899784,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.586172839506173,0.563340831899784,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
23658,LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated",44,ILMN_1737947,-0.464085706040577,0.464085706040577,1.88366673230189e-11,2.65429788487819e-14,AD_down,LSM5,-0.207438777249905,1.67881087609254e-07,3.04061258340858e-05,TRUE,TRUE,TRUE,0.695264683775368,TRUE,LSM5,-0.232442897131071,0.0141243020020406,0.481199185744497,TRUE,TRUE,FALSE,0.644567901234568,TRUE,LSM5,-0.0122825822961758,0.735639529854019,0.926599727974345,TRUE,FALSE,FALSE,0.50915266199109,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.644567901234568,0.50915266199109,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE85426
2959,GTF2B,general transcription factor IIB,46,ILMN_1737857,-0.383973101583747,0.383973101583747,2.05940726144814e-11,3.00941513076289e-14,AD_down,GTF2B,-0.198329440111693,2.06078333718369e-09,1.12339988675165e-06,TRUE,TRUE,TRUE,0.686942982927091,TRUE,GTF2B,-0.230605627860435,0.0728292401115132,0.602792572329726,TRUE,FALSE,FALSE,0.555802469135803,TRUE,GTF2B,-0.0528491470052658,0.0275645821489038,0.333489081251937,TRUE,TRUE,FALSE,0.549689030038375,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.555802469135803,0.549689030038375,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
54543,TOMM7,translocase of outer mitochondrial membrane 7,56,ILMN_1674069,-0.95861121478525,0.95861121478525,6.43034897382722e-11,1.17458490728017e-13,AD_down,TOMM7,-0.541659042346155,1.75949434068224e-08,5.87597797523675e-06,TRUE,TRUE,TRUE,0.70519703640073,TRUE,TOMM7,-0.236180616516404,0.0751285062006039,0.607377881761933,TRUE,FALSE,FALSE,0.573703703703704,TRUE,TOMM7,-0.132308266241844,0.0212774260141839,0.307222985718479,TRUE,TRUE,FALSE,0.561841118609678,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.573703703703704,0.561841118609678,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,mitochondrial_oxphos,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
440567,UQCRHL,ubiquinol-cytochrome c reductase hinge protein like,59,ILMN_1718136,-0.597470910250404,0.597470910250404,8.39850141708368e-11,1.62175540124261e-13,AD_down,UQCRHL,-0.26564856031692,6.16333952621279e-09,2.74439812792197e-06,TRUE,TRUE,TRUE,0.695855256093633,TRUE,,,,,FALSE,FALSE,FALSE,,FALSE,UQCRHL,-0.0928164794046424,0.0285264119547404,0.336569555660837,TRUE,TRUE,FALSE,0.555379118697896,TRUE,FALSE,FALSE,FALSE,1,1,1,0,0,0.555379118697896,0.555379118697896,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,mitochondrial_oxphos,GSE63061|GSE140829,GSE63061|GSE140829
246184,CDC26,cell division cycle 26,68,ILMN_2210837,-0.258705000776052,0.258705000776052,1.3463446268291e-10,3.09165302335372e-13,AD_down,CDC26,-0.114775514679452,3.83844071194369e-06,0.000300147339572963,TRUE,TRUE,TRUE,0.646945130462794,TRUE,CDC26,-0.151551485842614,0.205435758838086,0.724139263983325,TRUE,FALSE,FALSE,0.569444444444445,TRUE,CDC26,-0.0419233096191555,0.0490004296897624,0.395746636350331,TRUE,TRUE,FALSE,0.544572361166248,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.569444444444445,0.544572361166248,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
6645,SNTB2,syntrophin beta 2,71,ILMN_1808374,0.271123835158023,0.271123835158023,1.87318795570307e-10,4.4612034490911e-13,AD_up,SNTB2,0.134662724625634,3.27099664928792e-08,8.97034722406857e-06,TRUE,TRUE,TRUE,0.692526575754322,TRUE,SNTB2,0.0810301591318957,0.389619838479307,0.825485420731697,TRUE,FALSE,FALSE,0.530308641975309,TRUE,SNTB2,0.0705647543158619,0.00198441689971451,0.133297785612335,TRUE,TRUE,FALSE,0.572824312998986,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.572824312998986,0.530308641975309,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,other_or_unclassified,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
10412,NSA2,"NSA2, ribosome biogenesis homolog",76,ILMN_2103295,-0.504034427947287,0.504034427947287,2.20361619635767e-10,5.6352587871993e-13,AD_down,NSA2,-0.266337373875276,4.30362716024653e-07,6.27155848897744e-05,TRUE,TRUE,TRUE,0.688499946311607,TRUE,NSA2,-0.00690686796897081,0.952503178287022,0.991275332024018,TRUE,FALSE,FALSE,0.51537037037037,TRUE,NSA2,-0.0983134318945082,0.0295949571367647,0.337662042904736,TRUE,TRUE,FALSE,0.558047726169997,TRUE,FALSE,FALSE,FALSE,2,2,1,0,0,0.558047726169997,0.51537037037037,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,stable_strict,ribosomal_translation,GSE63061|GSE85426|GSE140829,GSE63061|GSE140829
